,VM weights,SMA weights
0,1.0550883871016132,1.0393937976174181
1,0.7969367689088064,0.7903590313186085
2,0.3481528522424057,0.36262199109776805
3,0.25133591510202347,0.27501333644593695
4,0.949337573063943,0.9451849064622545
5,0.8665843654905155,0.8526795948595189
6,1.2247906284301662,1.3292993072378945
7,1.791021904932582,1.5912668118627729
8,1.7145412786619245,1.6101722203161668
9,1.4366856133813468,1.2915449995576695
10,1.3915828393511842,1.3229504733621178
11,1.7900090204148096,1.714810895108818
12,1.5237724103013925,1.4693201695072338
13,1.5781980249459313,1.4327129277913948
14,1.8158254145426442,1.7832851471970086
15,1.8333763102221499,1.7795741606386357
16,1.8474469036003796,1.7980408206149283
17,1.8778100691465276,1.7670687329470305
18,1.7917909685267146,1.743397332369964
19,1.7174246277512506,1.616246959057825
20,1.798946039129922,1.6049961553947691
21,1.743971043814497,1.5691920803533643
22,1.614484234694573,1.656320414007869
23,1.7160486637326797,1.6752829651721228
24,1.6900510350854447,1.594470857180049
25,1.6048659026009524,1.5701323884919116
26,1.5361227907473627,1.5083879741092612
27,1.5801632707686801,1.55789059822043
28,1.553185785092362,1.5298286825538119
29,1.5170117211801812,1.4026548547182913
30,1.4110891754228936,1.366430342306893
31,1.3211122616417077,1.3483670490471937
32,1.4248772762092694,1.406467210606127
33,1.401659136718552,1.4280106734611715
34,1.3707792314284666,1.4065957639410567
35,1.3261170075675783,1.30900181648359
36,1.3711755621207518,1.3834369109872469
37,1.352297884484292,1.317877127659923
38,1.2713640179369015,1.2726481360371242
39,1.3178683211866782,1.3563659519312437
40,1.2832688162186092,1.3421669389811661
41,1.3205244610045186,1.3413123514520469
42,1.2497770532673955,1.3267588950191556
43,1.3553911886784928,1.3933013960078608
44,1.2578560239606722,1.2737623781967642
45,1.2184186743195762,1.2967977863653801
46,1.2093930422076005,1.2798379512853653
47,1.1497848274486624,1.152320279199649
48,1.1750862524915382,1.1752157854917729
49,1.1737710924494604,1.2270222437721436
50,1.1798792557530384,1.3106840654024867
