,VM weights,SMA weights
0,0.603881352600103,0.584953763115212
1,1.1763558219350259,1.144453700764614
2,1.3172813262999414,1.3554715399800132
3,1.8519344770629134,1.9034572119679156
4,2.6793684633585677,2.7471847097755413
5,3.4050134999587995,3.3969829061093706
6,3.661647574572141,3.7049411622472714
7,4.347622193877234,4.235536774117159
8,3.85695134709221,3.6887681471681675
9,4.495366506948881,4.164352643322007
10,4.400473450567701,4.146048666345054
11,4.561115729665754,4.175622025557709
12,4.1796654687549255,3.899041419792739
13,4.23857775435314,3.9208865369585837
14,4.251316139027467,3.981537507899767
15,4.753093711198063,4.4121556271819635
16,4.904593007643752,4.462732828102571
17,4.461314974898415,3.9857156555830153
18,4.350364529929819,4.053651509525066
19,4.509475885023629,4.064123847560766
20,4.202957034767922,3.8083343091094566
21,3.989694279979436,3.649511511856924
22,3.965108421455677,3.609057485777329
23,3.8287361318809916,3.52468267658784
24,3.822982215273329,3.553420774156128
25,3.72099750460958,3.4856547729909595
26,3.4632169627788763,3.276640337167152
27,3.5780453362283797,3.398588701651728
28,3.258747217922506,3.088400154114058
29,3.358368855469726,2.934537887099463
30,3.1327552344958822,2.778427951308445
31,2.8791492840588524,2.6518093948186725
32,2.9886699705519777,2.7233429517065404
33,2.8380361533516636,2.681310863311809
34,2.7413976209343747,2.6938744922298308
35,2.529924015532398,2.381782251044134
36,2.535646969799049,2.3280491808869748
37,2.5495496200911147,2.392995934403415
38,2.562388252979136,2.416237685700023
39,2.5758239117962978,2.3925626797446773
40,2.5135263415317426,2.3736584643795124
41,2.5283222122032627,2.3142040518436686
42,2.3405680501883896,2.2664026734956897
43,2.456226701280615,2.3823213629691735
44,2.364675573236718,2.2183754215151605
45,2.3618202566492363,2.2292189804234526
46,2.2499399544337098,2.1646336844663647
47,2.133916791909296,1.983538975323388
48,2.171228606059638,2.0384832379944853
49,2.205742100319854,2.072998114809571
50,2.0725997509898715,2.0126062003663403
