,VM weights,SMA weights
0,0.5448381155491617,0.5286158813740989
1,2.898786640836192,2.221736006799382
2,2.6345802106399403,2.583448523315477
3,5.612702529254629,5.274885405434448
4,5.808246956780086,5.827323576891359
5,7.856505055698108,7.203645525808418
6,5.490693856075135,5.422695076799421
7,7.205355433336485,6.558073696814297
8,5.212073428644287,4.981297390267987
9,7.3851590911648906,6.621313330170208
10,7.046897448238136,6.554424788124434
11,8.851356084784927,7.860797465264921
12,8.416218718427615,7.708293183196908
13,9.536428374603524,8.661107254527401
14,9.606654414553239,8.890750925963102
15,10.508407215378881,9.36289207829807
16,9.408133023476626,8.347442854768625
17,8.516637402343738,7.274961322103699
18,8.17031377687447,6.981107411739329
19,8.17920487898056,7.077417599324028
20,7.731944197149709,6.646663235584576
21,7.437050758304592,6.356813052891657
22,7.390540560891642,6.265752252768565
23,6.771245800059235,5.752835265690628
24,6.197440767568118,5.331841428406953
25,6.037676201823462,5.120790706743093
26,5.633616829568787,4.952808292181831
27,5.662618750980046,4.7952184374801865
28,5.56428749793248,4.648245065878845
29,5.409727480829009,4.378759541881563
30,4.893134911382955,3.964941073521436
31,4.513075834948689,3.8044872768788722
32,4.590241103678103,3.8047150888136043
33,4.366279941197125,3.6596464573330927
34,4.212190075330766,3.62521122466362
35,3.8626230329842155,3.340399329609387
36,3.801118603885998,3.2002318722709084
37,3.8896598204959454,3.2255261170062988
38,3.7293151051907993,3.1833624128661335
39,3.6275789353532466,3.0581671859203063
40,3.5861987186743636,3.0770900881818566
41,3.4485803312302,2.9372734480706364
42,3.3095629700317466,2.951648060547378
43,3.445205678916551,3.0229337100697586
44,3.33419369225314,2.8444682238388523
45,3.486624805639963,2.9800755098418534
46,3.217117573491908,2.76783725404498
47,3.0528020719531623,2.697121830409206
48,3.032258805822968,2.659822498222807
49,3.0517355083859887,2.686750698227138
50,3.03143646810325,2.6220195259492947
