Var1,time,acc_x,acc_y,acc_z,pulse,eda
0,0,529.79,94.73,818.85,0.46,8.16
1,10,533.2,84.96,822.75,0.45,8.17
2,20,527.83,88.87,825.68,0.46,8.07
3,30,516.6,101.56,829.59,0.46,8.27
4,40,530.76,85.45,821.29,0.45,8.06
5,50,528.32,94.73,826.17,0.45,8.01
6,60,535.64,95.7,829.1,0.45,8.07
7,70,529.79,91.31,831.05,0.45,8.15
8,80,521.48,99.61,825.68,0.45,7.94
9,90,510.74,87.4,837.4,0.45,8.11
10,100,511.72,93.26,823.24,0.45,8.2
11,110,521,89.84,830.57,0.45,8.3
12,120,522.46,100.1,824.22,0.45,8.02
13,130,527.34,92.77,823.73,0.45,8.28
14,140,540.04,96.68,820.8,0.45,8.06
15,150,541.99,82.03,821.29,0.46,8.21
16,160,540.53,97.66,815.43,0.45,8.17
17,170,530.76,85.94,822.27,0.45,8.37
18,180,529.79,94.73,815.43,0.45,8.11
19,190,540.04,97.66,812.99,0.45,8.2
20,200,534.67,103.52,814.94,0.45,8.11
21,210,539.06,98.63,821.29,0.45,8.11
22,220,535.16,100.1,823.24,0.45,8.21
23,230,528.32,98.63,828.61,0.45,8.39
24,240,531.74,88.87,833.01,0.45,8.15
25,250,522.95,93.75,829.1,0.45,8.25
26,260,537.11,107.42,827.64,0.45,8.14
27,270,542.48,88.87,824.22,0.46,8.21
28,280,539.06,91.31,813.96,0.47,8.1
29,290,538.57,78.12,827.15,0.47,8.36
30,300,540.04,103.03,820.31,0.48,8.03
31,310,534.67,93.75,832.03,0.48,8.23
32,320,529.3,87.4,826.17,0.48,7.97
33,330,526.37,101.56,824.22,0.49,8.16
34,340,541.99,94.24,825.2,0.49,8.11
35,350,527.83,100.59,821.78,0.48,8.49
36,360,533.2,98.14,806.64,0.48,8.17
37,370,525.39,105.47,827.15,0.48,8.16
38,380,539.55,94.24,828.12,0.48,8.01
39,390,529.79,95.21,823.73,0.48,8.12
40,400,540.04,83.01,813.48,0.48,8.11
41,410,534.67,79.59,816.41,0.47,8.28
42,420,542.97,104,819.82,0.46,8.11
43,430,543.95,86.91,826.17,0.46,8.29
44,440,541.02,94.24,819.34,0.46,8.11
45,450,529.79,101.56,831.54,0.45,8.27
46,460,523.93,75.2,825.2,0.45,8
47,470,529.79,88.38,827.15,0.45,8.14
48,480,537.11,95.21,834.47,0.43,8.06
49,490,534.67,93.26,830.08,0.44,8.34
50,500,534.18,90.82,820.31,0.44,8.2
51,510,537.6,88.38,831.54,0.44,8.23
52,520,538.09,99.12,815.92,0.44,7.95
53,530,534.18,90.33,820.8,0.44,8.12
54,540,549.32,98.14,822.75,0.44,7.91
55,550,533.2,92.77,824.71,0.44,8.26
56,560,540.53,99.12,827.15,0.44,8.11
57,570,550.78,91.31,835.94,0.44,8.31
58,580,533.2,82.52,821.78,0.44,8.1
59,590,520.51,85.45,829.59,0.45,8.29
60,600,529.3,91.8,818.85,0.44,8.11
61,610,534.18,95.21,831.05,0.45,8.21
62,620,532.71,102.05,820.31,0.45,7.94
63,630,536.62,89.36,825.68,0.45,8.3
64,640,531.25,100.1,820.31,0.45,8.08
65,650,541.99,95.21,834.96,0.45,8.27
66,660,531.25,76.66,827.15,0.45,7.97
67,670,522.46,96.68,820.8,0.45,8.11
68,680,523.93,90.82,820.8,0.45,8.11
69,690,536.62,91.8,824.22,0.45,8.33
70,700,524.9,83.5,822.75,0.45,8.16
71,710,525.88,97.17,827.64,0.46,8.28
72,720,547.85,93.26,820.8,0.45,8.2
73,730,540.04,83.5,821.78,0.45,8.28
74,740,541.99,92.77,820.8,0.45,8.01
75,750,534.18,91.31,822.75,0.45,8.25
76,760,548.34,96.19,811.04,0.45,8.14
77,770,539.06,87.4,817.87,0.45,8.37
