Var1,time,acc_x,acc_y,acc_z,pulse,eda
0,0,202.15,-18.07,983.89,0.41,8.82
1,10,209.96,-22.46,979.98,0.41,9.03
2,20,205.57,-10.25,982.91,0.41,8.8
3,30,206.05,-10.25,970.7,0.41,9.05
4,40,212.4,-26.37,954.59,0.41,8.66
5,50,205.08,-22.95,962.4,0.41,9.12
6,60,197.27,-23.44,980.47,0.42,8.69
7,70,195.31,-14.65,976.56,0.42,9.06
8,80,199.71,-11.72,976.56,0.42,8.73
9,90,183.59,-6.84,970.7,0.42,8.99
10,100,195.8,-20.02,978.52,0.42,8.77
11,110,192.38,-8.79,975.59,0.42,8.92
12,120,189.45,-2.44,976.07,0.42,8.83
13,130,193.85,-17.09,965.82,0.42,8.98
14,140,191.41,-11.72,973.63,0.42,8.69
15,150,200.68,-16.6,976.56,0.42,9.08
16,160,191.41,-5.37,975.1,0.43,8.75
17,170,186.52,-18.07,970.21,0.43,8.91
18,180,190.92,-6.84,965.33,0.44,8.77
19,190,189.45,-11.23,970.7,0.45,8.92
20,200,190.43,-3.91,985.84,0.47,8.67
21,210,191.89,-11.23,971.19,0.48,8.93
22,220,196.78,-3.91,972.17,0.5,8.75
23,230,208.5,-18.07,969.73,0.52,8.93
24,240,208.01,-13.67,989.26,0.53,8.81
25,250,207.52,-17.09,978.03,0.54,8.99
26,260,222.17,-14.16,977.54,0.55,8.59
27,270,211.91,-7.81,967.29,0.55,8.98
28,280,209.47,-11.72,970.21,0.55,8.53
29,290,220.21,-6.84,963.87,0.55,8.92
30,300,221.68,-20.02,965.33,0.55,8.69
31,310,203.12,-13.18,973.14,0.54,8.98
32,320,196.29,-13.67,978.03,0.53,8.73
33,330,193.85,-6.84,968.75,0.52,8.78
34,340,201.66,-5.37,964.36,0.51,8.72
35,350,201.66,-4.39,972.66,0.5,8.94
36,360,216.31,0,965.33,0.48,8.67
37,370,200.2,-16.6,969.24,0.47,8.89
38,380,219.24,-3.91,970.21,0.46,8.73
39,390,201.66,-8.79,977.05,0.45,9.06
40,400,205.08,-22.95,979.49,0.44,8.69
41,410,205.57,-10.25,957.03,0.43,8.86
42,420,210.94,-22.46,972.17,0.43,8.69
43,430,192.38,-20.51,969.73,0.42,9.03
44,440,208.01,-8.79,970.21,0.41,8.73
45,450,208.98,-7.32,976.56,0.41,8.94
46,460,191.89,-11.72,973.63,0.41,8.65
47,470,182.62,-20.51,977.05,0.41,9.1
48,480,207.03,-15.14,978.52,0.41,8.76
49,490,216.31,-22.95,976.07,0.41,8.97
50,500,202.64,-3.91,963.87,0.41,8.79
51,510,211.91,-14.16,980.96,0.41,8.92
52,520,218.26,-12.21,966.31,0.41,8.76
53,530,210.94,-16.11,968.26,0.42,8.84
54,540,199.22,-10.25,970.21,0.42,8.84
55,550,203.61,-2.93,969.24,0.43,8.92
56,560,203.61,-12.21,974.61,0.43,8.69
57,570,203.61,-12.21,964.36,0.43,8.91
58,580,201.66,-3.91,971.68,0.43,8.61
59,590,188.96,-1.46,977.05,0.43,8.92
60,600,197.75,-13.67,975.1,0.43,8.69
61,610,187.99,0,972.66,0.44,8.97
62,620,197.27,-10.25,984.86,0.44,8.64
63,630,202.15,-12.7,986.33,0.43,8.97
64,640,193.36,-22.46,980.47,0.43,8.69
65,650,190.43,-11.23,970.21,0.43,8.96
66,660,208.5,-9.28,972.17,0.43,8.5
67,670,207.52,-2.44,979.49,0.42,8.76
68,680,208.5,-12.7,961.91,0.42,8.7
69,690,214.84,-19.04,965.82,0.42,8.91
70,700,197.75,-9.77,975.59,0.42,8.83
71,710,209.96,-9.77,965.82,0.42,8.78
72,720,207.03,-4.39,977.54,0.42,8.68
73,730,211.43,-22.46,975.1,0.41,9.37
74,740,209.96,-3.42,969.73,0.41,8.69
75,750,215.33,-12.7,965.33,0.41,8.91
76,760,202.64,-2.93,966.8,0.41,8.72
77,770,208.98,-13.18,977.54,0.41,8.89
78,780,199.71,-26.86,962.4,0.41,8.75
79,790,208.98,-7.81,970.21,0.41,8.83
80,800,189.94,-11.23,973.63,0.41,8.69
81,810,186.04,-8.79,976.07,0.41,8.89
82,820,203.61,-17.58,969.24,0.41,8.67
83,830,196.78,-17.58,974.61,0.41,8.89
84,840,194.82,-27.34,972.17,0.41,8.68
85,850,187.5,-14.16,973.14,0.41,8.91
86,860,189.45,-13.18,979.98,0.41,8.66
87,870,204.1,-12.21,974.12,0.41,8.89
88,880,200.2,-17.58,980.47,0.42,8.69
89,890,200.68,-15.63,973.14,0.42,8.87
90,900,203.61,-4.88,968.75,0.41,8.69
91,910,201.66,-17.09,984.37,0.42,8.87
92,920,203.61,-11.72,965.82,0.41,8.75
93,930,214.36,-7.81,979.49,0.41,8.97
94,940,193.36,-8.3,963.87,0.41,8.73
95,950,194.82,-16.11,967.29,0.42,8.73
96,960,187.5,-6.35,974.61,0.42,8.67
97,970,193.36,-14.16,975.1,0.43,8.82
98,980,204.59,-6.35,975.59,0.43,8.61
