,VM weights,SMA weights
0,0.8603457763993719,0.8356871294767603
1,0.45493825564150525,0.4579118148908783
2,0.3864524386454907,0.41202612604215055
3,0.5989550560199165,0.6203435632939023
4,1.053088568979582,1.0955541024397644
5,1.1009791066771968,1.0996617794624168
6,1.5492842474335893,1.5568852786847094
7,1.6882362187272935,1.6585988461931933
8,1.674484896612963,1.683259007883346
9,1.7964782061835944,1.7565118905229797
10,1.6901524522626883,1.6188110034528638
11,2.16041550792397,2.050475161260916
12,2.186174987086343,2.044073080850279
13,2.3523190782466177,2.210299423924551
14,2.835141673120661,2.6948931651450057
15,2.8366741371931123,2.6252797402755665
16,2.6079872678023266,2.5117201016046335
17,2.3181374215869117,2.258284695696504
18,2.251639037189011,2.235577980389436
19,2.169596581127275,2.168003338314497
20,2.3555283145371795,2.249526911342675
21,2.183322953069744,2.140016145787974
22,2.184459312797803,2.2485749374593866
23,2.2465110001312696,2.284436886674319
24,2.0889419091859365,2.09088495057982
25,2.019937470543409,2.030332788972496
26,1.9574334984288202,2.0034899107979656
27,1.9991744790641732,2.0568786601864453
28,2.0033851873211357,1.991847415757415
29,1.9015203299524412,1.8715617948234624
30,1.76221490637319,1.7640281843372727
31,1.7527343353926323,1.82439683046038
32,1.6797715918679315,1.6803321329469436
33,1.6340048176759852,1.6845761946602957
34,1.6684691824330042,1.7273328411764521
35,1.5802944584064125,1.6071273560224424
36,1.596804079486843,1.646140616250204
37,1.5981858370996296,1.6123258970174572
38,1.5297020874451497,1.557459839736757
39,1.4688094146466228,1.5205630001783412
40,1.4278478121262876,1.4886246448967952
41,1.4135991743552396,1.5191678654432237
42,1.3946938140436727,1.4888813244648884
43,1.4816793415404568,1.539362741824984
44,1.4564483777642514,1.5227490947999596
45,1.423602469873633,1.505941968145902
46,1.354097595017695,1.4522320698157183
47,1.3555065993430702,1.4163094219840362
48,1.3399294793319554,1.423866865867271
49,1.3518999377339338,1.4476328432374295
50,1.3537171619261847,1.4703269642722816
