,VM weights,SMA weights
0,0.5430364471527004,0.5343995011679312
1,2.2410919086507266,1.750009345491092
2,2.025317270780481,2.0463612410376473
3,3.755813346995523,3.6587806423029314
4,3.5460343672461714,3.6715544818828496
5,5.82282428128308,5.573476341067073
6,4.247569861082163,4.180831322228066
7,5.184640298742987,4.905209399204471
8,3.8785688952341917,3.712718735729625
9,5.592079178761769,5.168874220033677
10,5.489567125093445,5.263019250313335
11,6.521903882875878,5.967473444604704
12,5.867119027230354,5.5799927575274015
13,6.550270787255309,6.048170140685977
14,6.606248246217997,6.10926389454484
15,7.469855046250939,6.839832384104683
16,7.106610293387854,6.520696416905298
17,7.4579861830809175,6.632557585991286
18,7.3337019100221115,6.406202848133166
19,7.20928887314548,6.228055179831697
20,7.011105593553295,6.18719938111014
21,6.889479579420061,5.987560450232939
22,6.472964244306976,5.620517808572815
23,6.196229237682527,5.462844543104401
24,6.362997880893838,5.4426404137068225
25,5.659045908762542,5.012764625865873
26,5.403567826549221,4.863444316728049
27,5.49174240422623,4.932257992773869
28,4.976197550607358,4.305925503075197
29,4.963670448181742,4.090467665205313
30,4.625197624076171,3.8785141313275187
31,4.418081818307461,3.623888274345043
32,4.181921518983824,3.6080284604152153
33,3.981358698121872,3.469885000918923
34,3.925512918687272,3.432507586294318
35,3.7374773056268022,3.1771214820586726
36,3.494669538730776,3.0420401846885823
37,3.4374742581398947,2.9710333894862426
38,3.622925962487485,3.104203578257404
39,3.5350471643502837,3.0120293317301896
40,3.3339000413877127,2.931469729775814
41,3.2082283417745683,2.858247152303553
42,2.985744106034456,2.7203925352776586
43,3.145656466995809,2.8583233215299497
44,2.9624175367685455,2.684313668973627
45,2.9800191221155843,2.681565520092238
46,2.935861928101796,2.6803497880943876
47,2.896113147555907,2.5548677351032105
48,2.932780850554703,2.6040228934422687
49,2.9032867249542735,2.6010309918022974
50,2.816808592474729,2.5244936375860427
